SDG	Pub_doi	Pub_title	Pub_concept
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Asia Pacific LDCs
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Brussels Programme Of Action
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Global Hunger Index
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Brussels Programme
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hyogo Framework For Action
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Lao PDR
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Multidimensional Poverty Index
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Inclusive Development
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	South Asian Association For Regional Cooperation
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Diet Quality
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Ecological Imbalance
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hunger Reduction
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	United Nations Framework Convention On Climate Change
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hungry People
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Generalize System Of Preference
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Trade Intensity Index
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Asia Pacific Region
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Pacific Region
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Global Macroeconomic Imbalance
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Rural-urban Difference
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Line
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty Line
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Headcount
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Line
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Line
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Lorenz Curve
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Line
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Headcount
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Measure
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	David Roland-Holst
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	National Poverty Line
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	International Poverty Line
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Measure
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Schedule
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	PovcalNet Database
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Physical Survival
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Par Jean-Claude Berth
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Equivalence Scale
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	OECD Income Distribution Questionnaire
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Public Cash Transfer
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Net Public Transfer
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty-reducing Effect
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Headcount
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Market-income Poverty
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Equivalised Household Disposable Income
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Rate
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Median Income Threshold
