SDG_Title	color_code
SDG01__No_Poverty	#E5243B
SDG02__Zero_hunger	#DDA63A
SDG03__Good_health_and_well_being	#4C9F38
SDG04__Quality_education	#C5192D
SDG05__Gender_equality	#FF3A21
SDG06__Clean_water_and_sanitation	#26BDE2
SDG07__Affordable_and_clean_energy	#FCC30B
SDG08__Decent_work_and_economic_growth	#A21942
SDG09__Industry__Innovation__And_Infrastructure	#FD6925
SDG10__Reduced_Inequalities	#DD1367
SDG11__Sustainable_Cities_And_Communities	#FD9D24
SDG12__Responsible_Consumption_And_Production	#BF8B2E
SDG13__Climate_Action	#3F7E44
SDG14__Life_Below_Water	#0A97D9
SDG15__Life_On_Land	#56C02B
SDG16__Peace_Justice_And_Strong_Institutions #00689D
SDG17__Partnerships_For_The_Goals	#19486A
