SDG	Pub_doi	Pub_title	Pub_concept	SDG_short
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Asia Pacific LDCs	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Brussels Programme Of Action	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Global Hunger Index	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Brussels Programme	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hyogo Framework For Action	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Lao PDR	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Multidimensional Poverty Index	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Inclusive Development	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	South Asian Association For Regional Cooperation	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Diet Quality	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Ecological Imbalance	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hunger Reduction	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	United Nations Framework Convention On Climate Change	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hungry People	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Generalize System Of Preference	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Trade Intensity Index	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Asia Pacific Region	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Pacific Region	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Global Macroeconomic Imbalance	SDG01
SDG01: No Poverty	10.18356_5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Rural-urban Difference	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Line	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty Line	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Headcount	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Line	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Line	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Lorenz Curve	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Line	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Headcount	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Measure	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	David Roland-Holst	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	National Poverty Line	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	International Poverty Line	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Measure	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Schedule	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	PovcalNet Database	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Physical Survival	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Par Jean-Claude Berth	SDG01
SDG01: No Poverty	10.1787_5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Equivalence Scale	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	OECD Income Distribution Questionnaire	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Public Cash Transfer	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Net Public Transfer	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty-reducing Effect	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Headcount	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Market-income Poverty	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Equivalised Household Disposable Income	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Rate	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Median Income Threshold	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	IRL Ita JPN Lux MEX	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Inter-quintile Share Ratio	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Assessment Base	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Lower Poverty Rate	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Jobless Household	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	JPN Lux MEX NLD NZL	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Household Taxis	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Work Attachment	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Income Poverty	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Relative Income Poverty	SDG01
SDG01: No Poverty	10.1787_9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Material Deprivation	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Develop Country Report	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Island LDCs	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Rural Nonfarm Economy	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Asian LDCs Island LDCs	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Asian LDCs	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	African LDCs	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Agricultural Upgrade	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Poverty Eradication	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Development Imperative	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	UNCTAD Secretariat Calculation	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	UNCTADstat Database	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Exporter Mineral Exporter	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Myanmar Lao PDR	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Manufacture Exporter Service	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Rural-urban Migration	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Gross Domestic Product	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Sustainable Poverty	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Agricultural Labour Force	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	European Union?s	SDG01
SDG01: No Poverty	10.18356_afa15b01-en	The Least Developed Countries Report 2015 - The 2030 agenda for sustainable development and the rural development imperative	Exporter Service Exporter	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	United Nations High Commissioner For Refugee	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Millennium Development Goal Report	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Undernourished People	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Wealth Quintile	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty Rate	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Vulnerable Employment	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Extreme Poverty	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Lower Wealth	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Reduce Food Insecurity	SDG01
SDG01: No Poverty	10.18356_d35e799b-en	The Millennium Development Goals Report 2015 - Goal 1: Eradicate extreme poverty and hunger	Post-2015 Development Agenda	SDG01
