SDG	Pub_doi	Pub_title	Pub_concept	SDG_short	Publisher
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Asia Pacific LDCs	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Brussels Programme Of Action	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Global Hunger Index	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Brussels Programme	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hyogo Framework For Action	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Lao PDR	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Multidimensional Poverty Index	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Inclusive Development	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	South Asian Association For Regional Cooperation	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Diet Quality	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Ecological Imbalance	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hunger Reduction	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	United Nations Framework Convention On Climate Change	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Hungry People	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Generalize System Of Preference	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Trade Intensity Index	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Asia Pacific Region	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Pacific Region	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Global Macroeconomic Imbalance	no-poverty	UN
no-poverty	10.18356/5022b3a0-en	Implementation of the Brussels Programme of Action for the Least Developed Countries in Asia and the Pacific Region - Reducing poverty and hunger by accelerating sustainable and inclusive development	Rural-urban Difference	no-poverty	UN
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Line	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty Line	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Headcount	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Line	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Line	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Lorenz Curve	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Line	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Headcount	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Measure	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Absolute Poverty	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	David Roland-Holst	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	National Poverty Line	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	International Poverty Line	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Relative Poverty Measure	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Poverty Schedule	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	PovcalNet Database	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Physical Survival	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Par Jean-Claude Berth	no-poverty	OECD
no-poverty	10.1787/5k92n2x6pts3-en	On the Relevance of Relative Poverty for Developing Countries - On the Relevance of Relative Poverty for Developing Countries	Equivalence Scale	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	OECD Income Distribution Questionnaire	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Public Cash Transfer	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Net Public Transfer	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty-reducing Effect	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Headcount	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Market-income Poverty	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Equivalised Household Disposable Income	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Poverty Rate	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Median Income Threshold	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	IRL Ita JPN Lux MEX	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Inter-quintile Share Ratio	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Assessment Base	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Lower Poverty Rate	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Jobless Household	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	JPN Lux MEX NLD NZL	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Household Taxis	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Work Attachment	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Income Poverty	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Relative Income Poverty	no-poverty	OECD
no-poverty	10.1787/9789264044197-7-en	Growing Unequal? - Poverty in OECD Countries	Material Deprivation	no-poverty	OECD
